Id,Назва організації,Назва програми,Тип програми,Назва етапу,Номер етапу,Обсяг,ProgramAmountUnitOfMeasure,Дата відправлення реєстру,Сформував,Статус,Область,Район,Населений пункт,Реєстраційний номер заявки,Дата рєстрації заявки,Реєстраційний номер,Дата реєстрації,Назва або ПІБ сільгосвиробника,Тип особи,Податковий номер,IBAN рахунку для виплат,Обсяг підтримки
236,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST-2] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,1354,грн.,2024-02-29 09:35:32.682538,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U944-01688,2024-01-24 15:59:09.843669,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,123
236,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST-2] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,1354,грн.,2024-02-29 09:35:32.682538,Мельник Віктор Петрович,Затверджено,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,,,U944-01715,2024-02-29 08:00:07.310916,2024-003725,2024-02-27 10:08:11.219239,Лагода Аліна Олегівна,ФОП,3057723608,953052990000026009001025903,1231
240,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST-2] Бюджетна дотація за утримання корів,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""за утримання великої рогатої худоби (корів)""",Етап 3,123213,грн.,2024-03-18 13:31:03.690095,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U945-01820,2024-03-18 13:22:54.993125,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,123213
243,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,189444,грн.,2024-03-19 16:07:48.856431,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1339-01824,2024-03-19 12:42:13.484504,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,234234324234234324234232342,44444
243,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,189444,грн.,2024-03-19 16:07:48.856431,Мельник Віктор Петрович,Затверджено,ПОЛТАВСЬКА ОБЛАСТЬ,РАЙОНИ М.ПОЛТАВИ,КИЇВСЬКИЙ,U1339-01833,2024-03-19 15:13:46.406610,2021-000989,2021-06-04 20:14:19.734000,Копча Вадим Володимирович,ФОП,3485105071,234324324234234234234234234,89000
243,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,189444,грн.,2024-03-19 16:07:48.856431,Мельник Віктор Петрович,Затверджено,КИЇВСЬКА ОБЛАСТЬ,ВОЛОДАРСЬКИЙ РАЙОН,ВОЛОДАРКА,U1339-01832,2024-03-19 15:12:56.013977,2022-001085,2022-08-23 16:00:12.217113,Купріянчук Тарас Олександрович,ФОП,3268908152,123123123123123123123123213,56000
249,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0 Договір розірвано 2,Інші,2,Етап 2,1011400,грн.,2024-04-01 10:13:34.150715,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1357-01880,2024-04-01 09:51:04.833392,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123123,57500
249,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0 Договір розірвано 2,Інші,2,Етап 2,1011400,грн.,2024-04-01 10:13:34.150715,Мельник Віктор Петрович,Затверджено,СУМСЬКА ОБЛАСТЬ,КРАСНОПІЛЬСЬКИЙ РАЙОН,ПОРОЗОК,U1357-01884,2024-04-01 09:58:08.304708,2021-000800,2021-01-27 12:28:53.383000,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГРОФІРМА ""РОДИНА""",Юридична особа,03779515,234232342342423423423423423,879900
249,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0 Договір розірвано 2,Інші,2,Етап 2,1011400,грн.,2024-04-01 10:13:34.150715,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1357-01879,2024-04-01 09:47:43.418402,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,40000
249,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0 Договір розірвано 2,Інші,2,Етап 2,1011400,грн.,2024-04-01 10:13:34.150715,Мельник Віктор Петрович,Затверджено,,,,U1357-01881,2024-04-01 09:53:08.352878,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,123213213123213213213123787,34000
244,Укрдержфонд,Компенсація витрат за гуманітарне розмінування земель сільгоспризначення [t4_20.03] ,Інші,Подання щодо здійснення компенсації в межах помісячного плану асигнувань загального фонду державного бюджету (ЦЕНТР),Етап 5,80000,грн.,2024-03-20 17:29:05.416851,Мельник Антон Назарович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1348-01855,2024-03-20 17:21:44.092875,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,333333333333333333333333333,80000
247,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,12581,грн.,2024-03-21 15:02:13.446809,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1350-01861,2024-03-21 12:43:54.764831,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,333333333333333333333333333,1231
247,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,12581,грн.,2024-03-21 15:02:13.446809,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1350-01865,2024-03-21 14:58:17.988634,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,6786
247,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,12581,грн.,2024-03-21 15:02:13.446809,Мельник Віктор Петрович,Затверджено,,,,U1350-01864,2024-03-21 14:57:42.780724,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,234234234234234238888888888,4564
248,Укрдержфонд,Компенсація витрат за гуманітарне розмінування земель сільгоспризначення [t5_20.03],Інші,Подання щодо здійснення компенсації в межах помісячного плану асигнувань загального фонду державного бюджету (ЦЕНТР),Етап 5,80000,грн.,2024-03-22 10:48:17.428826,Мельник Антон Назарович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,,U1349-01867,2024-03-22 10:20:11.558987,2020-000396,2020-02-13 15:56:29.568000,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""ЕКО-ТУР""",Юридична особа,36716772,555555555555555555555555222,80000
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,СУМСЬКА ОБЛАСТЬ,КРАСНОПІЛЬСЬКИЙ РАЙОН,ПОРОЗОК,U1360-01897,2024-04-02 07:56:34.429934,2021-000800,2021-01-27 12:28:53.383000,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ АГРОФІРМА ""РОДИНА""",Юридична особа,03779515,234232342342423423423423423,123213
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,РОМАНІВ,U1360-01894,2024-04-02 07:43:14.274904,2020-000018,2020-02-21 14:17:35.602000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РОМАНІВ""",Юридична особа,30740160,555555555555555555555555555,123200
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1360-01891,2024-04-02 07:40:36.588182,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123128,123213
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,,,U1360-01893,2024-04-02 07:42:03.131307,2020-000308,2020-02-14 12:12:06.307000,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""ГОЛАНД""",Юридична особа,41692591,111111111111111111111111111,1312312
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ЛУГАНСЬКА ОБЛАСТЬ,ТРОЇЦЬКИЙ РАЙОН,АРАПІВКА,U1360-01898,2024-04-02 07:57:37.459057,2021-000128,2021-05-30 20:14:43.975000,Недозим Микола Петрович,ФОП,24843938,123123123123123123123123123,12321
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,ПУСТОМИТІВСЬКИЙ РАЙОН,СЕЛИСЬКО,U1360-01896,2024-04-02 07:55:21.900550,2020-000508,2020-03-10 14:41:17.250000,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""АГРОТЕМ""",Юридична особа,39325468,452345234523452435234523452,99900
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1360-01892,2024-04-02 07:41:23.230088,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,78000
253,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,5.0 Договір розірвано 2 ,Інші,2,Етап 2,2102159,грн.,2024-04-02 08:05:59.068771,Мельник Віктор Петрович,Затверджено,,,,U1360-01890,2024-04-02 07:37:24.822334,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,333333333333333333333333333,230000
256,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,1779072,грн.,2024-04-09 10:11:45.314254,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1366-01919,2024-04-09 09:51:18.663100,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,888888888888888888888888888,652000
256,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,1779072,грн.,2024-04-09 10:11:45.314254,Мельник Віктор Петрович,Затверджено,,,,U1366-01914,2024-04-09 08:28:14.657345,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,000003213130000009843216546,72
256,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,1779072,грн.,2024-04-09 10:11:45.314254,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1366-01912,2024-04-09 08:26:38.188680,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,000655656000065000654654646,560000
256,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,1779072,грн.,2024-04-09 10:11:45.314254,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1366-01913,2024-04-09 08:27:25.764981,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,000065646546500000323230065,567000
237,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,13123,грн.,2024-02-29 09:36:06.275885,Мельник Віктор Петрович,Затверджено,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,,,U725-01714,2024-02-29 07:58:14.630713,2024-003725,2024-02-27 10:08:11.219239,Лагода Аліна Олегівна,ФОП,3057723608,953052990000026009001025903,13123
246,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,1054000,грн.,2024-03-21 13:22:52.562038,Мельник Віктор Петрович,Затверджено,,,,U1350-01860,2024-03-21 12:42:46.544828,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,343434343434343434343434333,56000
246,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,1054000,грн.,2024-03-21 13:22:52.562038,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1350-01858,2024-03-21 12:40:12.444500,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,40000
246,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,1054000,грн.,2024-03-21 13:22:52.562038,Мельник Віктор Петрович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,,,U1350-01863,2024-03-21 12:45:41.762558,2020-000308,2020-02-14 12:12:06.307000,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""ГОЛАНД""",Юридична особа,41692591,123123123121231212312312312,88000
246,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,1054000,грн.,2024-03-21 13:22:52.562038,Мельник Віктор Петрович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,РОМАНІВ,U1350-01862,2024-03-21 12:44:43.664730,2020-000018,2020-02-21 14:17:35.602000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РОМАНІВ""",Юридична особа,30740160,555555555555555555555555555,90000
246,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2.0 Етап контролю виплат,Інші,2,Етап 2,1054000,грн.,2024-03-21 13:22:52.562038,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1350-01859,2024-03-21 12:41:31.301448,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123123,780000
254,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,106394.63,грн.,2024-04-08 09:31:58.591095,Мельник Віктор Петрович,Затверджено,ВОЛИНСЬКА ОБЛАСТЬ,,,U1366-01906,2024-04-08 08:39:47.715314,2020-000308,2020-02-14 12:12:06.307000,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""ГОЛАНД""",Юридична особа,41692591,123123123121231211321223423,732.3
254,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,6.0 Договір розірвано 2,Інші,2,Етап 2,106394.63,грн.,2024-04-08 09:31:58.591095,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1366-01903,2024-04-08 08:36:57.356848,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,888888888888888888888888888,38153
