NameProgram,TypeProgram,LegalForm,Id,Region,District,DrfoCode,CreateAt,organization,DesiredAmount,ProvidedAmount,Area,LandParcelCount,QuantityAnimal,AnimalCount
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,1136,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ХМЕЛЬНИЦЬКИЙ РАЙОН,3131418002,2023-04-12,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",100000,0,,0,,0
*Дотація на будівництво та/або реконструкцію систем для зрошення дощуванням з урахуванням вартості поливної техніки й обладнання,Пряме субсидування з Державного Бюджету,Юридична особа,395,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,37029376,2023-10-25,Укрдержфонд,247649.0500,0,894.9453000000002,9,,0
*Дотація на будівництво та/або реконструкцію систем для зрошення дощуванням з урахуванням вартості поливної техніки й обладнання,Пряме субсидування з Державного Бюджету,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-10-30,Укрдержфонд,697596.900,0,27.814999999999998,9,,0
*Дотація на будівництво та/або реконструкцію систем для краплинного зрошення з урахуванням вартості обладнання ,Пряме субсидування з Державного Бюджету,Юридична особа,395,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,37029376,2023-10-26,Укрдержфонд,95804.8000,0,894.9453000000002,5,,0
*Дотація на будівництво та/або реконструкцію систем для краплинного зрошення з урахуванням вартості обладнання ,Пряме субсидування з Державного Бюджету,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-10-30,Укрдержфонд,675538.500,0,27.814999999999998,9,,0
[-5.0 def/app] Cтворення ланцюжків доданої вартості - виноробство,Надання грантів в рамках міжнародної фінансової допомоги,ФОП,2076,Не визначений,Не визначений,638036814148986298,2023-03-10,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,40000,0,,0,,0
[-5.0 def/app] Cтворення ланцюжків доданої вартості - виноробство,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,13,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,30909920,2023-03-07,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,22000,0,466.4522500000001,122,,0
[-5.0 def/app] Cтворення ланцюжків доданої вартості - виноробство,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-03-06,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,23000,0,129.2039,120,97,97
[-5.0 def/app] Cтворення ланцюжків доданої вартості - виноробство,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,417,ЗАПОРІЗЬКА ОБЛАСТЬ,ЗАПОРІЗЬКИЙ РАЙОН,23788841,2023-03-07,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,100000,0,1126.4344833333341,406,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,Фізична особа,15,МИКОЛАЇВСЬКА ОБЛАСТЬ,БАШТАНСЬКИЙ РАЙОН,2404408042,2023-11-17,FAO,150,0,12.8609,3,2,2
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,Фізична особа,2760,ВІННИЦЬКА ОБЛАСТЬ,ХМІЛЬНИЦЬКИЙ РАЙОН,638147791166320637,2023-11-17,FAO,100000,0,,0,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,ФОП,3002,ХАРКІВСЬКА ОБЛАСТЬ,ХАРКІВСЬКИЙ РАЙОН,2427900718,2024-01-03,FAO,24324,0,10.090599999999998,8,8,6
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,ФОП,3460,ЛЬВІВСЬКА ОБЛАСТЬ,ЛЬВІВСЬКИЙ РАЙОН,3112807458,2023-12-21,FAO,200000,0,,0,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,8,МИКОЛАЇВСЬКА ОБЛАСТЬ,МИКОЛАЇВСЬКИЙ РАЙОН,42931891,2023-12-01,FAO,2312312,0,218.98759999999993,45,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-11-24,FAO,100000,0,27.814999999999998,9,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,3414,ЧЕРНІГІВСЬКА ОБЛАСТЬ,НІЖИНСЬКИЙ РАЙОН,4074861111,2023-11-18,FAO,200000,0,37.0884,18,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди (Копія 1),Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2024-01-11,FAO,1000000,0,27.814999999999998,10,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди (Копія 1),Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,417,ЗАПОРІЗЬКА ОБЛАСТЬ,ЗАПОРІЗЬКИЙ РАЙОН,23788841,2023-12-15,FAO,1,0,1126.4344833333341,81,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди (Тест 1 етап 15.12.2023),Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,417,ЗАПОРІЗЬКА ОБЛАСТЬ,ЗАПОРІЗЬКИЙ РАЙОН,23788841,2023-12-15,FAO,925000,0,1126.4344833333341,81,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди Прог 1 Тест,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,15,МИКОЛАЇВСЬКА ОБЛАСТЬ,БАШТАНСЬКИЙ РАЙОН,2404408042,2023-12-20,FAO,10000,0,12.8609,3,2,2
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди Прог 2 Тест (Копія 1),Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,15,МИКОЛАЇВСЬКА ОБЛАСТЬ,БАШТАНСЬКИЙ РАЙОН,2404408042,2023-12-20,FAO,80000,0,12.8609,3,2,2
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди Прог 2 Тест (Копія 1),Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),ФОП,983,ЗАПОРІЗЬКА ОБЛАСТЬ,БЕРДЯНСЬКИЙ РАЙОН,3422509759,2023-12-20,FAO,10000,0,5.3043,1,,0
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди Тест від 18.12.2023,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,15,МИКОЛАЇВСЬКА ОБЛАСТЬ,БАШТАНСЬКИЙ РАЙОН,2404408042,2023-12-26,FAO,123,0,12.8609,3,2,2
[0.1] ФАО - Другий цикл - ТЕСТ/редизайн (11.12.2023) - Критерії ягоди Тест від 18.12.2023,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,417,ЗАПОРІЗЬКА ОБЛАСТЬ,ЗАПОРІЗЬКИЙ РАЙОН,23788841,2023-12-18,FAO,123000,0,1126.4344833333341,81,,0
[01 - 02] NP ,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,9,ЛУГАНСЬКА ОБЛАСТЬ,ДОВЖАНСЬКИЙ РАЙОН,2266123662,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,12321,0,0.7261,1,5,5
[01 - 02] NP ,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,12321,0,1231.7339299999974,704,206,206
[01 - 02] NP ,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2023-06-15,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,560000,0,1046.1812999999993,349,1395,501
[01 - 02] NP ,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,2553,0,129.2039,240,97,194
[01 - 02] NP ,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-06-09,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,34534,0,129.2039,120,97,97
[01 - 03] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2023-06-15,Укрдержфонд,32000,0,1046.1812999999993,38,1395,1234
[01 - 03] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-05-11,Укрдержфонд,123,0,129.2039,120,97,97
[01] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,9,ЛУГАНСЬКА ОБЛАСТЬ,ДОВЖАНСЬКИЙ РАЙОН,2266123662,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,11435,0,0.7261,2,5,10
[01] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,124355,0,1231.7339299999974,1408,206,412
[01] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,12321,0,1046.1812999999993,335,1395,1395
[01] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,96221,0,129.2039,240,97,194
[01] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,308,ВОЛИНСЬКА ОБЛАСТЬ,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,41692591,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,561231,0,28.075099999999996,24,,0
[01] Подання пакета документів на визначення підприємства критично важливим...,Інші,Юридична особа,86,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,37261942,2023-04-27,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,0,0,,0,,0
[01] Подання пакета документів на визначення підприємства критично важливим...,Інші,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-04-19,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,0,0,129.2039,120,97,97
[01] Подання пакета документів на визначення підприємства критично важливим...,Інші,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-04-28,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,0,0,129.2039,120,97,97
[01] Подання пакета документів на визначення підприємства критично важливим...,Інші,Юридична особа,800,СУМСЬКА ОБЛАСТЬ,СУМСЬКИЙ РАЙОН,03779515,2023-04-28,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,0,0,18.2756,2,1,1
[02.12 - Shen] Отримання від ФАО техніки для завантаження рукавів для зберігання зерна (Копія 1),Інші,ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2022-12-02,Укрдержфонд,0,0,1231.7339299999974,704,206,206
[02.12 - Shen] Отримання від ФАО техніки для завантаження рукавів для зберігання зерна (Копія 1),Інші,ФОП,1035,ЛЬВІВСЬКА ОБЛАСТЬ,СТРИЙСЬКИЙ РАЙОН,43962276,2022-12-02,Укрдержфонд,0,0,0.355,1,790,790
[02.12 - Shen] Отримання від ФАО техніки для завантаження рукавів для зберігання зерна (Копія 1),Інші,Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2022-12-02,Укрдержфонд,0,0,1046.1812999999993,335,1395,1395
[02.12 - Shen] Отримання від ФАО техніки для завантаження рукавів для зберігання зерна (Копія 1),Інші,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2022-12-02,Укрдержфонд,0,0,129.2039,120,97,97
"[02.12 Shen] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО (Копі",Інші,ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2022-12-02,Укрдержфонд,0,0,1231.7339299999974,704,206,206
"[02.12 Shen] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО (Копі",Інші,Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2022-12-02,Укрдержфонд,0,0,1046.1812999999993,335,1395,1395
"[02.12 Shen] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО (Копі",Інші,Юридична особа,86,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,37261942,2022-12-02,Укрдержфонд,0,0,,0,,0
"[02.12 Shen] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО (Копі",Інші,Юридична особа,86,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,37261942,2022-12-04,Укрдержфонд,0,0,,0,,0
"[02.12 Shen] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО (Копі",Інші,Юридична особа,395,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,37029376,2022-12-02,Укрдержфонд,0,0,894.9453000000002,1252,,0
"[02.12 Шаблон] Вибір отримувача техніки – надавача послуг із завантаження рукавів для зберігання зерна, отриманих від ФАО",Інші,Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2022-12-02,Укрдержфонд,0,0,1046.1812999999993,335,1395,1395
[02] aquaculture,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-02-10,Укрдержфонд,2000,0,129.2039,120,97,97
[02] aquaculture,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-02-10,Укрдержфонд,1000,0,27.814999999999998,10,,0
[02] Berries,Надання грантів в рамках міжнародної фінансової допомоги,ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2023-02-07,Укрдержфонд,100000,0,1231.7339299999974,704,206,206
[02] Berries,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,86,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,37261942,2023-02-07,Укрдержфонд,2000,0,,0,,0
[02] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Фізична особа,9,ЛУГАНСЬКА ОБЛАСТЬ,ДОВЖАНСЬКИЙ РАЙОН,2266123662,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,31232,0,0.7261,1,5,5
[02] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,12321,0,1231.7339299999974,704,206,206
[02] NP,Грантова співучасть у фінансуванні інвестиційних проектів (matching grants),Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-05-11,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,12321,0,129.2039,120,97,97
[02] production of Hutsul sheep bryndza,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-01-16,Укрдержфонд,234324,0,129.2039,120,97,97
[02] production of Hutsul sheep bryndza,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-01-23,Укрдержфонд,5000,0,27.814999999999998,10,,0
[02] wine,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-01-13,Укрдержфонд,1232,0,129.2039,120,97,97
[02] Zakarpattia honey production,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2023-02-08,Укрдержфонд,1000,0,1046.1812999999993,335,1395,1395
[02] скарга,Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-01-13,Укрдержфонд,234,0,129.2039,120,97,97
[02] Утримання корів,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,1035,ЛЬВІВСЬКА ОБЛАСТЬ,СТРИЙСЬКИЙ РАЙОН,43962276,2023-01-26,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",700000,0,0.355,1,790,790
[02] Утримання корів,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Юридична особа,86,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,37261942,2023-03-10,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",2000,0,,0,,0
[02]Посівна,Кредитування,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-03-01,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",2222,0,27.814999999999998,10,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Фізична особа,2039,Не визначений,Не визначений,638034856685832615,2023-04-17,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",21200,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,1035,ЛЬВІВСЬКА ОБЛАСТЬ,СТРИЙСЬКИЙ РАЙОН,43962276,2023-03-11,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",20000000,0,0.355,1,790,790
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,1064,ЖИТОМИРСЬКА ОБЛАСТЬ,НОВОГРАД-ВОЛИНСЬКИЙ РАЙОН,2515707318,2023-04-03,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",232321,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,1825,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,638024593235762082,2023-03-13,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",21200,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2339,ЛЬВІВСЬКА ОБЛАСТЬ,САМБІРСЬКИЙ РАЙОН,638052733100089817,2023-03-24,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",212000,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2473,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,ХМЕЛЬНИЦЬКИЙ РАЙОН,3131418002,2023-03-23,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",21200,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2499,ЖИТОМИРСЬКА ОБЛАСТЬ,БЕРДИЧІВСЬКИЙ РАЙОН,638098269044631471,2023-03-12,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",40000,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2541,ЗАКАРПАТСЬКА ОБЛАСТЬ,БЕРЕГІВСЬКИЙ РАЙОН,638113934619375340,2023-03-12,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",10000,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2763,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,КОСІВСЬКИЙ РАЙОН,638148223101041168,2023-03-19,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",15900,0,,0,,0
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,ФОП,2840,ВІННИЦЬКА ОБЛАСТЬ,ВІННИЦЬКИЙ РАЙОН,2285425327,2023-04-10,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",30000,0,34.109399999999994,25,3,3
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-04-28,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",456,0,129.2039,120,97,97
[03] Утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-03-16,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",1100,0,27.814999999999998,10,,0
